year,gen_1,gen_2,360,370,total
1955,190,,,,190
1956,560,,,,560
1957,1000,,,,1000
1958,1680,,,,1680
1959,2542,3,,,2545
1960,2640,880,,,3520
1961,2350,2510,,,4860
1962,1820,4725,,,6545
1963,1170,7720,,,8890
1964,750,10940,,,11690
1965,455,13090,625,,14170
1966,303,13330,3881,,17514
1967,203,9977,8125,,18305
1968,170,6896,13110,,20176
1969,49,4646,17687,,22382
1970,29,3297,19412,,22738
1971,14,2916,17529,806,21265
1972,6,2384,14909,2922,20221
1973,4,2079,10475,5887,18445
1974,4,1676,8060,8440,18180
1975,3,1397,6450,9335,17185
1976,,1107,5919,9046,16072
1977,,894,5118,10450,16462
1978,,829,4641,11348,16818